edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
32,Tecnico,Backend,Semi-Senior,4,Hibrido,Indefinido,8361968,6,No,4,0,4,2,3,3,2,Si
29,Tecnico,Frontend,Trainee,4,Hibrido,Indefinido,4525394,25,Si,3,3,3,3,2,2,3,No
33,Universitario,Frontend,Semi-Senior,14,Hibrido,Plazo fijo,11895035,7,No,2,1,4,4,2,3,5,Si
39,Universitario,Backend,Senior,22,Presencial,Indefinido,16996522,2,No,3,3,3,4,2,2,3,No
28,Secundaria,DevOps,Semi-Senior,3,Remoto,Plazo fijo,10606940,2,Si,4,3,3,3,3,3,3,No
28,Posgrado,Fullstack,Lead,68,Presencial,Indefinido,20935537,9,No,4,2,4,3,3,4,3,No
39,Tecnico,Fullstack,Semi-Senior,34,Remoto,Indefinido,10068929,10,Si,4,2,3,2,5,2,3,No
34,Universitario,Backend,Junior,22,Remoto,Plazo fijo,5059031,2,Si,3,1,3,3,4,2,4,No
27,Universitario,Data,Junior,43,Hibrido,Indefinido,6796976,3,Si,3,2,4,4,4,3,2,No
33,Posgrado,Backend,Semi-Senior,3,Hibrido,Indefinido,9701243,37,No,3,0,2,4,1,4,5,No
27,Universitario,Frontend,Semi-Senior,16,Hibrido,Indefinido,12444003,0,No,4,1,5,3,5,5,2,No
27,Posgrado,Mobile,Trainee,24,Hibrido,Indefinido,3022076,4,No,4,2,4,3,2,3,3,Si
31,Universitario,Frontend,Semi-Senior,43,Remoto,Indefinido,11435728,0,No,3,1,3,3,3,3,2,No
20,Posgrado,Backend,Semi-Senior,37,Remoto,Plazo fijo,7206384,13,Si,5,2,5,4,4,2,5,No
20,Tecnico,Fullstack,Senior,8,Hibrido,Indefinido,17542155,0,Si,4,2,3,3,4,2,3,No
26,Posgrado,QA,Semi-Senior,68,Hibrido,Indefinido,10527089,8,Si,3,1,3,4,2,2,3,No
23,Universitario,Fullstack,Senior,4,Remoto,Plazo fijo,15135554,0,No,5,0,3,4,4,3,4,No
31,Posgrado,Mobile,Trainee,50,Remoto,Indefinido,3144938,8,No,2,2,5,3,4,4,5,Si
24,Universitario,Data,Junior,85,Hibrido,Indefinido,7488088,14,No,4,3,3,3,3,4,3,No
21,Universitario,Frontend,Semi-Senior,5,Hibrido,Eventual,7979907,4,No,3,3,3,3,4,4,4,Si
38,Universitario,Backend,Semi-Senior,31,Hibrido,Plazo fijo,7213968,5,No,5,1,4,3,5,4,3,No
28,Universitario,Backend,Trainee,1,Remoto,Indefinido,4940657,4,Si,4,2,4,3,4,2,2,No
30,Tecnico,Fullstack,Senior,13,Presencial,Plazo fijo,19683565,2,No,4,3,5,4,4,5,3,Si
21,Tecnico,Fullstack,Senior,18,Hibrido,Indefinido,12901737,13,No,4,1,4,3,1,2,3,No
26,Universitario,QA,Semi-Senior,21,Hibrido,Plazo fijo,12172494,2,No,3,2,4,5,5,3,4,No
30,Tecnico,Mobile,Trainee,66,Hibrido,Indefinido,3790944,10,Si,4,1,3,2,3,3,3,No
23,Posgrado,Mobile,Senior,27,Hibrido,Indefinido,17409363,1,No,2,4,4,1,3,3,3,Si
32,Universitario,Backend,Semi-Senior,16,Remoto,Indefinido,9302743,2,No,4,2,4,4,3,4,1,No
26,Posgrado,QA,Senior,40,Presencial,Indefinido,15588156,3,Si,4,5,4,3,4,2,3,No
28,Universitario,Data,Senior,73,Hibrido,Indefinido,11985461,7,No,2,2,2,4,4,3,3,No
26,Tecnico,QA,Senior,1,Presencial,Eventual,16831759,4,Si,4,4,3,2,3,3,4,No
41,Universitario,Frontend,Semi-Senior,98,Presencial,Indefinido,9621021,10,No,4,3,3,5,4,3,4,No
29,Universitario,Mobile,Junior,3,Hibrido,Indefinido,7855361,1,No,3,0,4,3,3,3,3,No
23,Universitario,Frontend,Semi-Senior,41,Hibrido,Indefinido,12710912,0,No,3,3,5,3,4,2,2,No
34,Universitario,Backend,Semi-Senior,8,Hibrido,Indefinido,8806423,11,Si,4,1,4,5,3,2,3,No
22,Universitario,Frontend,Senior,4,Hibrido,Plazo fijo,12950408,13,Si,4,3,2,4,3,3,4,No
31,Universitario,Mobile,Junior,14,Presencial,Indefinido,5127915,0,Si,4,2,3,5,3,2,3,No
20,Posgrado,Mobile,Junior,25,Hibrido,Indefinido,5676957,7,Si,4,1,5,3,4,4,2,No
22,Posgrado,Frontend,Senior,12,Remoto,Indefinido,19106584,3,Si,3,0,3,3,3,4,4,No
31,Universitario,Backend,Senior,2,Remoto,Plazo fijo,12406427,12,No,5,1,4,3,3,3,2,No
34,Tecnico,Fullstack,Lead,22,Hibrido,Indefinido,18489550,16,Si,3,1,3,3,2,2,3,No
31,Universitario,Backend,Senior,56,Hibrido,Indefinido,17889053,15,No,3,4,3,4,2,1,4,No
29,Tecnico,Frontend,Semi-Senior,12,Remoto,Indefinido,10895090,12,Si,4,1,3,3,2,1,3,Si
28,Secundaria,Fullstack,Semi-Senior,6,Presencial,Indefinido,8845786,2,No,3,2,1,5,3,2,2,No
21,Universitario,DevOps,Senior,15,Remoto,Indefinido,13765013,13,No,3,3,4,4,2,1,2,Si
25,Universitario,Frontend,Semi-Senior,2,Remoto,Plazo fijo,7036382,6,No,5,3,2,5,4,3,3,Si
27,Posgrado,Frontend,Semi-Senior,42,Presencial,Plazo fijo,7862219,0,No,3,1,2,1,4,4,4,Si
36,Universitario,Backend,Junior,43,Presencial,Plazo fijo,5571917,4,Si,4,2,4,5,4,5,3,No
32,Universitario,Data,Semi-Senior,22,Remoto,Indefinido,8718303,22,Si,3,4,4,1,2,3,3,No
20,Universitario,Mobile,Senior,11,Hibrido,Indefinido,14801082,17,Si,3,5,2,2,3,1,4,Si
31,Universitario,Mobile,Junior,39,Presencial,Indefinido,7846668,0,Si,5,1,4,2,5,2,2,No
27,Universitario,Backend,Junior,20,Hibrido,Eventual,7002370,10,No,4,2,2,4,3,4,4,Si
25,Posgrado,Fullstack,Junior,42,Hibrido,Indefinido,7207260,13,No,4,3,4,3,3,3,4,No
33,Secundaria,Frontend,Junior,24,Remoto,Plazo fijo,7705677,2,No,3,2,4,4,4,4,3,No
36,Posgrado,Mobile,Junior,37,Remoto,Indefinido,7006068,5,Si,3,2,3,3,2,2,3,No
35,Universitario,QA,Semi-Senior,22,Remoto,Indefinido,8635407,9,No,5,3,3,5,4,4,3,Si
24,Universitario,Mobile,Lead,13,Hibrido,Indefinido,27481158,4,No,4,2,3,3,3,3,4,No
28,Universitario,QA,Semi-Senior,77,Hibrido,Indefinido,7483075,0,Si,3,0,4,5,3,3,3,No
31,Universitario,DevOps,Junior,19,Hibrido,Eventual,7587155,9,Si,4,4,4,3,4,3,3,Si
35,Posgrado,Frontend,Trainee,23,Hibrido,Eventual,4834742,19,No,4,1,2,5,2,2,2,No
27,Posgrado,QA,Senior,6,Presencial,Indefinido,19715978,8,No,3,0,2,4,5,3,4,No
28,Universitario,Frontend,Semi-Senior,24,Remoto,Indefinido,9928751,11,Si,3,3,4,3,3,3,4,No
23,Universitario,Fullstack,Senior,21,Remoto,Eventual,16451731,3,Si,5,3,4,3,3,1,3,No
22,Universitario,Frontend,Semi-Senior,5,Hibrido,Plazo fijo,9164533,1,No,4,2,4,2,3,3,3,No
34,Posgrado,Frontend,Senior,2,Hibrido,Indefinido,15473214,8,No,2,3,3,4,3,4,3,No
38,Universitario,Fullstack,Junior,23,Presencial,Indefinido,4602416,3,Si,4,1,2,3,3,3,2,No
29,Universitario,Backend,Senior,35,Hibrido,Indefinido,14682796,15,No,5,1,2,4,4,4,3,No
36,Universitario,Fullstack,Junior,18,Remoto,Indefinido,5597034,1,No,3,2,3,2,4,3,2,Si
32,Universitario,Fullstack,Lead,7,Hibrido,Indefinido,24231261,4,No,3,3,4,3,4,2,2,No
26,Tecnico,Frontend,Semi-Senior,27,Remoto,Indefinido,8836517,4,No,5,4,3,2,3,4,3,Si
32,Universitario,Frontend,Junior,3,Hibrido,Indefinido,4851637,22,No,4,2,5,2,2,2,3,Si
39,Posgrado,Fullstack,Junior,14,Hibrido,Indefinido,7625364,1,Si,3,4,3,4,4,2,4,No
29,Tecnico,Backend,Junior,5,Remoto,Indefinido,7024714,0,No,2,1,4,4,5,3,3,No
39,Universitario,DevOps,Senior,5,Presencial,Plazo fijo,19566554,2,Si,4,0,2,1,2,2,5,Si
20,Posgrado,Mobile,Junior,6,Hibrido,Plazo fijo,5443652,13,No,3,3,3,5,3,5,3,No
34,Tecnico,QA,Semi-Senior,12,Hibrido,Indefinido,12274413,1,Si,2,6,3,5,5,2,3,No
30,Posgrado,Mobile,Junior,2,Hibrido,Eventual,5394576,2,No,2,3,2,2,3,5,2,Si
28,Universitario,Fullstack,Semi-Senior,13,Remoto,Eventual,7864899,1,Si,3,3,3,4,4,3,2,Si
30,Universitario,Mobile,Senior,18,Hibrido,Indefinido,19652111,10,No,3,3,4,3,4,2,3,No
20,Posgrado,Backend,Senior,16,Remoto,Indefinido,17410575,0,Si,3,4,4,3,2,2,3,No
28,Universitario,Backend,Senior,12,Hibrido,Plazo fijo,13318292,3,No,5,2,2,4,4,3,3,No
32,Universitario,DevOps,Junior,44,Hibrido,Plazo fijo,6526393,2,No,4,1,3,4,3,3,4,No
38,Universitario,Fullstack,Junior,4,Remoto,Eventual,7928216,6,No,1,5,3,3,4,3,2,No
26,Universitario,DevOps,Senior,17,Presencial,Eventual,13379897,10,No,3,3,1,3,4,3,5,No
25,Tecnico,QA,Semi-Senior,2,Presencial,Plazo fijo,8294416,6,Si,3,3,2,3,4,3,2,Si
26,Universitario,QA,Semi-Senior,2,Hibrido,Indefinido,8985196,21,No,2,0,4,4,1,4,4,No
35,Posgrado,QA,Trainee,21,Hibrido,Indefinido,4760921,24,No,4,0,2,2,4,4,2,No
31,Universitario,Fullstack,Junior,21,Presencial,Indefinido,6060121,3,No,2,2,3,3,5,2,4,No
