edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
23,Posgrado,DevOps,Semi-Senior,25,Hibrido,Plazo fijo,7334449,8,No,3,1,2,4,3,2,3,Si
35,Universitario,Frontend,Junior,42,Presencial,Indefinido,7373635,3,Si,5,2,3,4,3,2,3,No
27,Posgrado,Backend,Senior,19,Presencial,Indefinido,19737897,14,No,4,2,4,2,2,2,2,No
31,Universitario,Data,Semi-Senior,48,Presencial,Indefinido,7236708,3,No,3,2,4,5,3,2,4,No
27,Universitario,Frontend,Semi-Senior,70,Presencial,Indefinido,12699908,5,Si,4,2,1,3,1,4,2,No
28,Universitario,Frontend,Semi-Senior,39,Presencial,Indefinido,11032669,1,Si,4,2,5,3,1,3,3,No
35,Universitario,Backend,Lead,9,Presencial,Indefinido,21605824,9,No,4,2,2,4,5,3,5,No
28,Posgrado,DevOps,Junior,13,Presencial,Plazo fijo,7293058,8,No,3,2,4,3,3,3,3,No
25,Universitario,Fullstack,Junior,11,Presencial,Indefinido,7866966,2,No,3,1,4,2,3,4,4,No
35,Universitario,Frontend,Senior,16,Presencial,Indefinido,12614288,0,No,4,2,4,2,4,4,3,Si
35,Universitario,DevOps,Senior,43,Remoto,Indefinido,14396841,17,No,3,2,5,3,2,3,3,No
24,Universitario,QA,Semi-Senior,1,Presencial,Indefinido,9649075,1,No,4,3,3,3,3,3,3,No
34,Universitario,Fullstack,Junior,10,Hibrido,Indefinido,5652273,4,No,3,2,2,2,4,4,3,Si
37,Secundaria,QA,Senior,7,Presencial,Indefinido,17274660,0,Si,2,1,2,4,2,3,4,Si
33,Tecnico,Frontend,Trainee,7,Hibrido,Indefinido,4121203,1,Si,3,3,3,2,4,2,4,Si
34,Universitario,Fullstack,Senior,1,Remoto,Indefinido,18348953,14,Si,3,1,5,5,4,4,2,No
30,Universitario,Fullstack,Lead,8,Hibrido,Plazo fijo,21232816,4,No,4,4,4,4,4,2,2,No
32,Tecnico,DevOps,Junior,13,Presencial,Indefinido,5707302,18,No,2,2,2,2,1,3,3,Si
