edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
27,Posgrado,Frontend,Junior,32,Remoto,Indefinido,7194365,0,No,4,1,4,3,4,3,3,No
33,Posgrado,DevOps,Semi-Senior,3,Remoto,Plazo fijo,10062682,3,Si,4,2,5,3,3,3,3,Si
26,Universitario,Backend,Senior,15,Remoto,Plazo fijo,15468397,7,No,3,3,4,5,2,4,3,No
26,Universitario,DevOps,Junior,53,Remoto,Indefinido,5476228,5,Si,3,1,3,2,3,3,4,Si
25,Universitario,Fullstack,Semi-Senior,49,Hibrido,Indefinido,12662729,4,No,2,1,5,5,4,4,3,No
28,Posgrado,DevOps,Senior,19,Hibrido,Plazo fijo,15055896,0,Si,5,2,3,4,2,2,5,Si
31,Universitario,Frontend,Semi-Senior,19,Remoto,Plazo fijo,9873601,2,No,4,1,5,4,3,3,4,No
37,Posgrado,Backend,Semi-Senior,2,Remoto,Indefinido,9150136,10,Si,4,1,4,3,2,3,2,No
31,Posgrado,Mobile,Lead,32,Presencial,Plazo fijo,20209064,7,Si,3,3,3,3,5,3,4,No
23,Posgrado,Data,Senior,27,Remoto,Indefinido,13309402,16,Si,4,2,4,3,3,2,4,Si
27,Universitario,Backend,Lead,25,Remoto,Indefinido,18786305,0,No,4,3,5,4,3,4,4,No
20,Universitario,Data,Junior,12,Remoto,Eventual,5461963,1,No,4,2,3,5,5,5,3,No
33,Universitario,Fullstack,Semi-Senior,5,Remoto,Indefinido,10955934,18,No,5,3,4,4,3,3,4,No
28,Posgrado,DevOps,Junior,86,Remoto,Indefinido,5031290,7,Si,4,1,4,5,3,4,4,No
26,Universitario,Mobile,Senior,3,Remoto,Indefinido,19579152,2,Si,3,3,5,4,3,2,2,No
24,Universitario,DevOps,Senior,1,Remoto,Indefinido,16725704,8,No,3,1,4,3,4,2,4,No
20,Universitario,Mobile,Senior,15,Hibrido,Indefinido,18054589,13,Si,3,4,4,4,3,2,5,No
27,Universitario,DevOps,Semi-Senior,38,Remoto,Indefinido,13855696,4,Si,4,0,3,3,4,3,4,No
30,Universitario,DevOps,Senior,35,Presencial,Indefinido,16438634,7,Si,4,3,4,5,4,3,5,No
32,Posgrado,Fullstack,Semi-Senior,1,Remoto,Indefinido,11513899,2,Si,2,1,1,2,4,2,5,Si
32,Tecnico,Fullstack,Lead,41,Hibrido,Indefinido,22341781,4,Si,2,0,3,3,2,4,4,No
31,Universitario,Data,Semi-Senior,87,Presencial,Eventual,12016018,5,Si,3,1,5,4,3,2,3,No
29,Tecnico,QA,Senior,38,Remoto,Indefinido,19841541,10,No,4,2,5,5,3,3,4,No
24,Tecnico,Fullstack,Senior,24,Presencial,Indefinido,18119394,0,Si,3,3,4,4,4,3,3,No
26,Universitario,QA,Junior,18,Remoto,Indefinido,5862016,23,Si,3,1,4,4,2,3,3,No
35,Universitario,DevOps,Senior,11,Remoto,Indefinido,19463966,4,No,4,1,5,4,3,2,4,No
40,Posgrado,Data,Junior,27,Presencial,Indefinido,7866142,13,No,5,3,4,3,5,3,2,No
27,Universitario,Backend,Senior,56,Remoto,Indefinido,16662819,2,No,3,4,3,5,3,4,3,No
32,Universitario,Mobile,Junior,42,Remoto,Indefinido,7144323,7,Si,3,1,4,4,3,1,3,No
28,Universitario,Backend,Lead,6,Remoto,Indefinido,25461047,8,Si,2,2,2,3,4,2,4,No
