edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
27,Posgrado,Data,Junior,15,Hibrido,Indefinido,6351788,14,Si,5,2,4,4,4,3,5,No
38,Universitario,DevOps,Semi-Senior,11,Hibrido,Indefinido,14398561,6,No,5,3,4,3,4,2,3,No
41,Universitario,Data,Junior,22,Hibrido,Indefinido,6593301,6,Si,3,1,2,5,3,3,3,No
34,Tecnico,Data,Semi-Senior,3,Remoto,Indefinido,8575599,0,No,5,4,4,4,5,3,4,No
26,Posgrado,Data,Senior,15,Remoto,Indefinido,13270777,8,Si,4,1,4,3,3,2,3,No
45,Universitario,Fullstack,Trainee,41,Remoto,Indefinido,4516004,11,No,4,0,3,4,2,4,4,Si
29,Universitario,Data,Senior,52,Hibrido,Indefinido,19862756,12,Si,4,2,4,3,4,2,3,No
26,Universitario,Backend,Semi-Senior,20,Remoto,Indefinido,13731892,0,No,5,2,3,4,4,3,4,No
37,Tecnico,QA,Senior,7,Remoto,Eventual,21708230,5,Si,4,1,5,3,3,2,3,No
23,Posgrado,Data,Junior,22,Remoto,Indefinido,8935778,4,No,5,8,4,3,3,4,4,No
27,Posgrado,Frontend,Semi-Senior,21,Remoto,Indefinido,9352178,0,Si,3,1,3,5,3,3,3,No
35,Posgrado,Backend,Semi-Senior,12,Hibrido,Eventual,10145616,7,Si,3,3,3,5,3,1,4,Si
33,Posgrado,QA,Semi-Senior,5,Presencial,Indefinido,14851134,5,Si,4,4,5,4,5,2,4,No
27,Posgrado,Backend,Senior,8,Remoto,Indefinido,22698257,9,Si,4,5,5,4,3,4,3,No
26,Universitario,Data,Trainee,14,Hibrido,Indefinido,4900100,1,Si,3,4,3,4,3,3,4,No
37,Universitario,Fullstack,Senior,22,Remoto,Indefinido,22797148,0,No,4,2,4,5,4,2,2,No
34,Posgrado,Fullstack,Semi-Senior,33,Hibrido,Indefinido,14394932,0,Si,4,2,3,4,3,1,4,No
42,Posgrado,Backend,Semi-Senior,1,Remoto,Indefinido,15196467,22,Si,4,0,4,5,2,2,4,No
33,Posgrado,Data,Junior,22,Hibrido,Indefinido,9595426,0,No,4,1,3,5,3,1,4,No
31,Universitario,DevOps,Lead,3,Remoto,Eventual,26660172,2,No,3,0,3,3,5,3,5,No
33,Tecnico,Data,Senior,7,Remoto,Indefinido,22448598,4,Si,5,0,3,4,5,1,5,No
