edad,nivel_formacion,rol_tecnologico,seniority,antiguedad_meses,modalidad_trabajo,tipo_contrato,salario_mensual,cantidad_horas_extra_mes,capacitacion_ultimo_anio,evaluacion_desempeno,cantidad_empresas_anteriores,satisfaccion_laboral,satisfaccion_ambiente,equilibrio_vida_trabajo,estancamiento_carrera,feedback_lider,desercion
22,Posgrado,Backend,Junior,29,Presencial,Indefinido,5474879,1,No,3,0,3,5,2,4,3,No
21,Universitario,Backend,Trainee,15,Presencial,Plazo fijo,2499262,2,No,2,2,1,1,4,5,1,Si
21,Universitario,Backend,Semi-Senior,13,Presencial,Plazo fijo,7159532,25,Si,4,3,4,1,2,2,1,No
27,Posgrado,Frontend,Semi-Senior,3,Presencial,Eventual,9416208,10,No,2,2,4,2,1,2,2,No
23,Universitario,Fullstack,Semi-Senior,13,Hibrido,Indefinido,9913876,2,No,3,1,5,2,2,4,2,No
29,Universitario,Mobile,Junior,37,Presencial,Indefinido,5486992,29,No,3,0,3,3,1,4,3,Si
26,Universitario,QA,Junior,45,Presencial,Indefinido,3729504,2,No,3,1,3,2,2,4,2,Si
27,Universitario,Frontend,Semi-Senior,2,Remoto,Indefinido,7123377,23,No,3,3,3,2,1,3,2,Si
21,Tecnico,Frontend,Trainee,14,Presencial,Plazo fijo,2583286,31,Si,3,2,2,3,1,3,3,No
25,Universitario,Backend,Senior,2,Presencial,Plazo fijo,9945770,2,Si,4,2,3,1,2,3,3,No
31,Universitario,Fullstack,Lead,13,Remoto,Plazo fijo,16806068,8,No,3,2,2,4,2,2,3,No
25,Universitario,Mobile,Junior,32,Presencial,Indefinido,4557733,45,No,4,3,3,3,1,3,2,Si
33,Universitario,DevOps,Junior,22,Presencial,Eventual,5901679,36,No,3,4,3,2,3,3,1,No
23,Universitario,DevOps,Semi-Senior,5,Remoto,Indefinido,10331580,4,No,4,1,4,2,3,3,3,Si
28,Tecnico,Backend,Junior,4,Hibrido,Plazo fijo,3617345,3,No,4,4,2,2,1,5,1,No
24,Posgrado,Fullstack,Junior,6,Hibrido,Eventual,3638978,24,No,2,4,1,2,2,4,1,Si
20,Universitario,Frontend,Semi-Senior,40,Presencial,Eventual,6822060,0,No,4,3,1,2,4,3,2,Si
27,Universitario,Backend,Junior,3,Presencial,Plazo fijo,4931123,2,No,2,3,1,5,3,4,3,No
33,Posgrado,Fullstack,Junior,21,Presencial,Indefinido,4435432,0,No,5,3,4,1,1,3,2,No
23,Posgrado,Backend,Junior,6,Presencial,Indefinido,3608273,0,No,4,2,3,2,2,3,1,Si
